
twittername,isAlsoAmplifer:
ChukaUmunna,false
halfon4harlowMP,false
julianhuppert,false
callum_mccaig,false
PaulBurstow,false
drewhendrySNP,false
StewartHosieMP,false
ronniecowan,false
carolinenokes,false
nickhurdmp,false
SteveReedMP,false
steve_mccabe,false
AnneMcGuireMP,false
SteveBakerHW,false
sajidjavid,false
HarrietHarman,false
JeffSmithetc,false
TomBlenkinsop,false
DawnButlerBrent,false
SarahChampionMP,false
EmilyThornberry,false
angelaeagle,false
_PaulMonaghan,false
AlbertOwenMP,false
KeeleyMP,false
EilidhWhiteford,false
Valerie_VazMP,false
edvaizey,false
KevinBrennanMP,false
TasminaSheikh,false
MartinJDocherty,false
Jo_Cox1,false
Mark4WyreForest,false
GradySNP,false
alisonseabeck,false
IanMurrayMP,false
peterkyle,false
GordonMarsden,false
AnnMcKechinMP,false
thomasbrake,false
BrendanOHaraSNP,false
KarlTurnerMP,false
michelledonelan,false
stellacreasy,false
SeemaMalhotra1,false
greggmcclymont,false
EdwardDaveyMP,false
EricPickles,false
RebeccaHarrisMP,false
stephen_mosley,false
HywelPlaidCymru,false
MrJohnNicolson,false
JasonMcCartney,false
joswinson,false
jessphillips,false
CarolineLucas,false
annaturley,false
WalkerWorcester,false
HenrySmithMP,false
BrandonLewis,false
ChrisLawSNP,false
claire4devizes,false
KevanJonesMP,false
RobWilson_RDG,false
coyleneil,false
kevin_j_foster,false
andrealeadsom,false
jreynoldsMP,false
ChrisPincher,false
AnneMcLaughlin,false
JonathanPlaid,false
HannahB4LiviMP,false
BarrySheerman,false
tessamunt,false
IrrancaDaviesMP,false
SimonDanczuk,false
PhilWilsonMP,false
DamianCollins,false
andreajenkyns,false
GloriaDePiero,false
JonAshworth,false
jreedmp,false
MikeGapes,false
grahamemorris,false
GrahamJones_MP,false
mikeweirsnp,false
GregHands,false
GwynneMP,false
tobyperkinsmp,false
cj_dinenage,false
joanryanEnfield,false
LSRPlaid,false
Debbie_abrahams,false
jessicamordenmp,false
wesstreeting,false
NadineDorriesMP,false
kirstenoswald,false
ChiOnwurah,false
OwenThompson,false
Offord4Hendon,false
murrisonMP,false
stephen_gilbert,false
Freeman_George,false
ACunninghamMP,false
marion53f,false
DeidreBrock,false
PhilBoswellSNP,false
angelasmithmp,false
TommySheppard,false
edballsmp,false
ArklessRichard,false
theresecoffey,false
annebegg,false
georgegalloway,false
AngusMacNeilSNP,false
PeteWishart,false
agriffithsmp,false
JWoodcockMP,false
AlokSharma_RDG,false
CatherineWest1,false
DavidLammy,false
VirendraSharma,false
IanCLucas,false
alisonthewliss,false
LilianGreenwood,false
CliveEfford,false
nataliemcgarry,false
StephenTwigg,false
StewartMcDonald,false
nick_clegg,false
damiangreenmp,false
karlmccartney,false
lisacameronsnp,false
Y_FovargueMP,false
joannaccherry,false
Steven4Stirling,false
hammersmithandy,false
mimsdavies,false
CarolineFlintMP,false
DougChapmanSNP,false
meaglemp,false
mtpennycook,false
GeorgeKerevan,false
LucyMPowell,false
MichelleThomson,false
