Number of ReTweets to be influential: 0
twittername,retweetValue
clydebank_snp,24
TelegraphNews,22
SuthSNP,23
CCHQPress,59
ukrespectparty,42
teamcaroline_1,39
carrieapples,28
ElectoralCommUK,30
theSNP,363
scottishlabour,33
Telegraph,22
StepRam,29
LibDems,142
GerryHassan,32
PeterMurrell,73
snpforthendrick,52
BBCPolitics,65
libby_brooks,24
Elin_A_Roberts,36
HouseofCommons,28
SNPDunblane,36
ProvanSNP,24
KevinJPringle,29
NicolaSturgeon,66
JBeattieMirror,32
jill_mcalpine,30
SadiqKhan,29
Independent,52
Plaid_Cymru,42
EastLothianSNP,21
SkyNews,28
itvnews,34
labourpress,21
SarahMOGalla,22
EdinSWSNP,176
rosscolquhoun,21
BBCNews,36
MirrorPolitics,24
perayahmet,59
TristramHuntMP,46
guardian,21
Muqadaam,36
