username,TweetsMade,RetweetsRecieved,MentionsMade,MentionsRecived,ReferralsMade,ReferralSource,ReferralSourceMade
HelenJonesMP,8,0,0,0,0,FALSE,0
CherylGillanMP,13,0,0,0,0,FALSE,0
IrrancaDaviesMP,21,0,0,0,0,FALSE,0
MrJohnNicolson,246,6,0,0,0,FALSE,0
drewhendrySNP,208,1,0,0,0,FALSE,0
LizMcInnesMP,21,1,0,0,0,FALSE,0
GwynneMP,104,1,0,0,0,FALSE,0
grahamstuart,4,0,0,0,0,FALSE,0
AndyLoveMP,3,0,0,0,0,FALSE,0
NickyMorgan01,5,0,0,0,0,FALSE,0
Owen_PatersonMP,5,1,0,0,0,FALSE,0
OnnMel,13,0,0,0,0,FALSE,0
GRobinsonDUP,1,0,0,0,0,FALSE,0
TomTugendhat,20,0,0,0,0,FALSE,0
AndyMcDonaldMP,1,0,0,0,0,FALSE,0
alisonseabeck,33,0,0,0,0,FALSE,0
HelenGrantMP,2,0,0,0,0,FALSE,0
Jesse_Norman,10,0,0,0,0,FALSE,0
EstherMcVeyMP,1,0,0,0,0,FALSE,0
YvetteCooperMP,4,1,0,0,0,FALSE,0
jon_trickett,8,0,0,0,0,FALSE,0
alisonthewliss,133,0,0,0,0,FALSE,0
robertsymsMP,1,0,0,0,0,FALSE,0
JakeBerry,1,0,0,0,0,FALSE,0
CatherineWest1,113,0,0,0,0,FALSE,0
PGibsonSNP,49,0,0,0,0,FALSE,0
swilliamsmp,13,1,0,0,0,FALSE,0
RachaelMaskell,4,0,0,0,0,FALSE,0
FlickD,2,0,0,0,0,FALSE,0
KeeleyMP,41,0,0,0,0,FALSE,0
RobWilson_RDG,77,1,0,0,0,FALSE,0
RobertBuckland,39,1,0,0,0,FALSE,0
AnneMiltonMP,1,0,0,0,0,FALSE,0
MarcusFysh,6,0,0,0,0,FALSE,0
cathyjamieson,16,1,0,0,0,FALSE,0
Mark_J_Harper,1,0,0,0,0,FALSE,0
mark4ceredigion,38,0,0,0,0,FALSE,0
helenhayes_,14,0,0,0,0,FALSE,0
georgegalloway,189,0,0,0,0,FALSE,0
NicDakinMP,11,0,0,0,0,FALSE,0
LucyMPowell,26,2,0,0,0,FALSE,0
GloriaDePiero,13,0,0,0,0,FALSE,0
MickeyBrady4MP,6,1,0,0,0,FALSE,0
CLeslieMP,23,0,0,0,0,FALSE,0
Tobias_Ellwood,4,0,0,0,0,FALSE,0
tracey_crouch,2,0,0,0,0,FALSE,0
duncanhames,10,0,0,0,0,FALSE,0
stephen_gilbert,13,0,0,0,0,FALSE,0
SamGyimah,15,0,0,0,0,FALSE,0
mowat4ws,1,0,0,0,0,FALSE,0
AnneMcLaughlin,55,1,0,0,0,FALSE,0
AnasSarwar,5,1,0,0,0,FALSE,0
EmmaLewellBuck,4,0,0,0,0,FALSE,0
S_Hammond,10,0,0,0,0,FALSE,0
TellRanil,1,0,0,0,0,FALSE,0
olivercolvile,11,0,0,0,0,FALSE,0
MarkReckless,14,0,0,0,0,FALSE,0
dannyalexander,19,0,0,0,0,FALSE,0
Bill_Esterson,17,0,0,0,0,FALSE,0
naomi_long,26,0,0,0,0,FALSE,0
BenPBradshaw,8,0,0,0,0,FALSE,0
Dunne4Ludlow,4,0,0,0,0,FALSE,0
SteveReedMP,15,0,0,0,0,FALSE,0
andrewpercy,9,0,0,0,0,FALSE,0
AlexSalmond,42,7,0,0,0,FALSE,0
RoryStewartUK,2,0,0,0,0,FALSE,0
steve_mccabe,15,0,0,0,0,FALSE,0
JimHood_MP,5,0,0,0,0,FALSE,0
agriffithsmp,9,0,0,0,0,FALSE,0
CharlieElphicke,12,0,0,0,0,FALSE,0
PaulBlomfieldMP,2,0,0,0,0,FALSE,0
angelaeagle,28,3,0,0,0,FALSE,0
ben4ipswich,3,1,0,0,0,FALSE,0
PatGlassMP,2,0,0,0,0,FALSE,0
AdamAfriyie,2,0,0,0,0,FALSE,0
DJWarburton,22,0,0,0,0,FALSE,0
meaglemp,50,5,0,0,0,FALSE,0
sheryllmurray,30,0,0,0,0,FALSE,0
AmberRuddhr,2,0,0,0,0,FALSE,0
