HelenJonesMP,8
CherylGillanMP,13
IrrancaDaviesMP,21
MrJohnNicolson,246
drewhendrySNP,208
LizMcInnesMP,21
GwynneMP,104
grahamstuart,4
AndyLoveMP,3
NickyMorgan01,5
Owen_PatersonMP,5
OnnMel,13
GRobinsonDUP,1
TomTugendhat,20
AndyMcDonaldMP,1
alisonseabeck,33
HelenGrantMP,2
Jesse_Norman,10
EstherMcVeyMP,1
YvetteCooperMP,4
jon_trickett,8
alisonthewliss,133
robertsymsMP,1
JakeBerry,1
CatherineWest1,113
PGibsonSNP,49
swilliamsmp,13
RachaelMaskell,4
FlickD,2
KeeleyMP,41
RobWilson_RDG,77
RobertBuckland,39
AnneMiltonMP,1
MarcusFysh,6
cathyjamieson,16
Mark_J_Harper,1
mark4ceredigion,38
helenhayes_,14
georgegalloway,189
NicDakinMP,11
LucyMPowell,26
GloriaDePiero,13
MickeyBrady4MP,6
CLeslieMP,23
Tobias_Ellwood,4
tracey_crouch,2
duncanhames,10
stephen_gilbert,13
SamGyimah,15
mowat4ws,1
AnneMcLaughlin,55
AnasSarwar,5
EmmaLewellBuck,4
S_Hammond,10
TellRanil,1
olivercolvile,11
MarkReckless,14
dannyalexander,19
Bill_Esterson,17
naomi_long,26
BenPBradshaw,8
Dunne4Ludlow,4
SteveReedMP,15
andrewpercy,9
AlexSalmond,42
RoryStewartUK,2
steve_mccabe,15
JimHood_MP,5
agriffithsmp,9
CharlieElphicke,12
PaulBlomfieldMP,2
angelaeagle,28
ben4ipswich,3
PatGlassMP,2
AdamAfriyie,2
DJWarburton,22
meaglemp,50
sheryllmurray,30
AmberRuddhr,2
edvaizey,12
SeemaKennedy,5
AnnMcKechinMP,20
Geoffrey_Cox,2
drdanpoulter,4
telliott_UUP,15
_PaulMonaghan,300
GrahamAllenMP,7
nick_clegg,19
GradySNP,234
DouglasCarswell,19
EdwardDaveyMP,5
PeterJLuff,4
pamela_nash,7
tobyperkinsmp,43
jimmurphymp,2
Keir_Starmer,4
neill_bob,6
DamianCollins,30
AndrewRosindell,3
kitmalthouse,5
ChrisM4Chester,15
JulieForBurnley,6
PeterBoneMP,1
grahamemorris,103
GordonBanksMP,5
WalkerWorcester,54
ChukaUmunna,54
MaryMacleodMP,3
ConorMcGinn,2
ChrisPincher,20
mikejwood,3
scullyp,10
JudithCummins,2
stroud_neil,5
GeraldJonesLAB,9
andreajenkyns,43
DavidJonesMP,7
IanLaveryMP,2
Anna_Soubry,5
ChrisLeslieMP,6
Tell_Karen,5
AndrewBridgenMP,1
SteveBakerHW,14
uxbridgewalrus,8
KevinBrennanMP,11
DawnButlerBrent,26
HywelPlaidCymru,60
RichardBurdenMP,31
ChrisRuaneMP,2
charles_kennedy,9
GemmaWDMP,8
nataliemcgarry,144
alancampbellmp,33
MegMunn01,1
heidiallen75,9
OliverHealdMP,2
tpearce003,11
NadineDorriesMP,20
Metcalfe_SBET,7
JamesDuddridge,54
GregHands,46
RogMull,105
PeteWishart,45
FionaODonnellMP,19
CarolineLucas,66
gildernewmp,13
ianpaisleymp,5
KarenPBuckMP,5
JennyChapman,6
APMiller1949,2
GeorgeKerevan,201
SueHayman1,11
DLidington,1
JulieHillingMP,15
DdeBK,3
justinmadders,5
LouHaigh,9
Royston_Smith,16
nicolablackwood,1
AlistairBurtMP,12
Y_FovargueMP,12
SharonHodgsonMP,1
JennyWillott,39
GarethThomasMP,10
NorwichChloe,9
StewartMcDonald,247
iswales,8
Stewart4Pboro,37
davidtcdavies,64
GWilliamsonMP,4
RuthSmeeth,2
fionamacmp,8
mthroup,1
Debbie_abrahams,78
spelmanc,1
LindsayHoyle_MP,6
LiamFoxMP,66
BrandonLewis,40
nadhimzahawi,6
StuartAndrew,7
AndrewSelous,1
Meg_HillierMP,1
greggmcclymont,28
William_Wragg,1
davidburrowesmp,3
davidmackintosh,11
Annette4MDNP,16
AlbertOwenMP,12
marklazarowicz,12
IanMurrayMP,11
paulasherriff,10
margotjamesmp,1
adriansandersmp,3
SDoughtyMP,24
JonAshworth,17
RichardGrahamMP,4
JackDromeyMP,19
HackneyAbbott,16
LouiseEllman,4
KateOsamor,27
hilarybennmp,4
AngusMacNeilSNP,217
Peter_Dowd,9
IanCLucas,36
NigelDoddsMP,1
bphillipsonMP,3
mikeweirsnp,39
Vernon_CoakerMP,1
mattwarman,7
thomasbrake,30
annebegg,24
ronniecowan,77
markdurkan,1
grantshapps,12
MRitchieMP,1
cj_dinenage,9
JonathanPlaid,231
Mike_Fabricant,29
GeraintDaviesMP,3
IanMearnsMP,16
patmcfaddenmp,5
Simonhartmp,8
AnnClwyd,1
Mike4Eastleigh,7
mtpennycook,28
PhilipDaviesMP,4
Rees4Neath,19
Alison_McGovern,9
RichardBurgon,12
robertabwMP,31
Caroline_Ansell,5
joanryanEnfield,39
SuellaFernandes,4
KateGreenSU,11
Pauline_Latham,2
bernardjenkin,11
stevedouble,7
NazShahBfd,15
