username,TweetsMade,RetweetsRecieved,MentionsMade,MentionsRecived,ReferralsMade,ReferralSource,ReferralSourceMade
tpearce003,2,0,0,0,0,FALSE,0
IrrancaDaviesMP,1,0,0,0,0,FALSE,0
MrJohnNicolson,9,0,0,0,0,FALSE,0
drewhendrySNP,3,0,0,0,0,FALSE,0
GregHands,2,0,0,0,0,FALSE,0
vickyfoxcroft,2,0,0,0,0,FALSE,0
stephenctimms,3,0,0,0,0,FALSE,0
GwynneMP,2,0,0,0,0,FALSE,0
PeteWishart,3,0,0,0,0,FALSE,0
wesstreeting,2,0,0,0,0,FALSE,0
timfarron,1,0,0,0,0,FALSE,0
jreynoldsMP,1,0,0,0,0,FALSE,0
RebeccaHarrisMP,1,0,0,0,0,FALSE,0
MikeGapes,3,0,0,0,0,FALSE,0
OnnMel,1,0,0,0,0,FALSE,0
EilidhWhiteford,3,0,0,0,0,FALSE,0
coyleneil,3,0,0,0,0,FALSE,0
GeorgeKerevan,9,0,0,0,0,FALSE,0
Mark4WyreForest,1,0,0,0,0,FALSE,0
TomTugendhat,2,0,0,0,0,FALSE,0
HelenGrantMP,1,0,0,0,0,FALSE,0
EstherMcVeyMP,1,0,0,0,0,FALSE,0
halfon4harlowMP,1,0,0,0,0,FALSE,0
HannahB4LiviMP,2,0,0,0,0,FALSE,0
alisonthewliss,6,0,0,0,0,FALSE,0
CatherineWest1,1,0,0,0,0,FALSE,0
marion53f,2,0,0,0,0,FALSE,0
InverclydeMP,10,1,0,0,0,FALSE,0
DeidreBrock,3,0,0,0,0,FALSE,0
FlickD,1,0,0,0,0,FALSE,0
SeemaMalhotra1,2,0,0,0,0,FALSE,0
FrankRoyMP,6,0,0,0,0,FALSE,0
RobertBuckland,1,0,0,0,0,FALSE,0
Y_FovargueMP,1,0,0,0,0,FALSE,0
RobWilson_RDG,2,0,0,0,0,FALSE,0
SadiqKhan,2,0,0,0,0,FALSE,0
karlmccartney,2,0,0,0,0,FALSE,0
Steven4Stirling,38,0,0,0,0,FALSE,0
MarcusFysh,1,0,0,0,0,FALSE,0
JoStevensLabour,2,0,0,0,0,FALSE,0
ChiOnwurah,1,0,0,0,0,FALSE,0
StewartMcDonald,3,1,0,0,0,FALSE,0
iswales,8,0,0,0,0,FALSE,0
JasonMcCartney,2,0,0,0,0,FALSE,0
georgegalloway,18,0,0,0,0,FALSE,0
GWilliamsonMP,1,0,0,0,0,FALSE,0
NicDakinMP,1,0,0,0,0,FALSE,0
stephen_gilbert,13,0,0,0,0,FALSE,0
stephen_mosley,3,0,0,0,0,FALSE,0
SamGyimah,2,0,0,0,0,FALSE,0
AnneMcLaughlin,2,0,0,0,0,FALSE,0
BarryGardiner,1,0,0,0,0,FALSE,0
BrandonLewis,3,0,0,0,0,FALSE,0
LiamFoxMP,1,0,0,0,0,FALSE,0
dannyalexander,1,0,0,0,0,FALSE,0
lisacameronsnp,11,0,0,0,0,FALSE,0
PaulFlynnMP,1,0,0,0,0,FALSE,0
TommySheppard,3,0,0,0,0,FALSE,0
karen__bradley,5,0,0,0,0,FALSE,0
michelledonelan,1,0,0,0,0,FALSE,0
neil_parish,1,0,0,0,0,FALSE,0
LiamByrneMP,1,0,0,0,0,FALSE,0
andrewpercy,9,0,0,0,0,FALSE,0
SimonKirbyMP,2,0,0,0,0,FALSE,0
KarlTurnerMP,2,0,0,0,0,FALSE,0
ArklessRichard,3,0,0,0,0,FALSE,0
marklazarowicz,12,0,0,0,0,FALSE,0
willquince,1,0,0,0,0,FALSE,0
IanMurrayMP,2,0,0,0,0,FALSE,0
johnmcdonnellMP,1,0,0,0,0,FALSE,0
DJWarburton,4,0,0,0,0,FALSE,0
sheryllmurray,1,0,0,0,0,FALSE,0
jreedmp,3,0,0,0,0,FALSE,0
edvaizey,1,0,0,0,0,FALSE,0
stellacreasy,1,0,0,0,0,FALSE,0
AnnMcKechinMP,1,0,0,0,0,FALSE,0
AlasdairMcD_MP,1,0,0,0,0,FALSE,0
JonAshworth,1,0,0,0,0,FALSE,0
_PaulMonaghan,12,0,0,0,0,FALSE,0
Jo_Cox1,3,0,0,0,0,FALSE,0
labourlewis,5,0,0,0,0,FALSE,0
danielbyles,3,0,0,0,0,FALSE,0
PaulBurstow,3,0,0,0,0,FALSE,0
hammersmithandy,3,0,0,0,0,FALSE,0
GradySNP,10,1,0,0,0,FALSE,0
HackneyAbbott,1,0,0,0,0,FALSE,0
michaelmeacher,5,0,0,0,0,FALSE,0
LouiseEllman,1,0,0,0,0,FALSE,0
AlokSharma_RDG,1,0,0,0,0,FALSE,0
AngusMacNeilSNP,11,0,0,0,0,FALSE,0
Peter_Dowd,1,0,0,0,0,FALSE,0
DamianCollins,5,0,0,0,0,FALSE,0
theresecoffey,1,0,0,0,0,FALSE,0
lynbrownmp,1,0,0,0,0,FALSE,0
joannaccherry,10,0,0,0,0,FALSE,0
MichelleThomson,5,0,0,0,0,FALSE,0
GordonBanksMP,5,0,0,0,0,FALSE,0
grahamemorris,1,0,0,0,0,FALSE,0
ronniecowan,1,0,0,0,0,FALSE,0
ChukaUmunna,5,0,0,0,0,FALSE,0
cj_dinenage,2,0,0,0,0,FALSE,0
ConorMcGinn,1,0,0,0,0,FALSE,0
JonathanPlaid,10,0,0,0,0,FALSE,0
ChrisPincher,2,0,0,0,0,FALSE,0
RobertJenrick,1,0,0,0,0,FALSE,0
GeraintDaviesMP,1,0,0,0,0,FALSE,0
IanMearnsMP,2,0,0,0,0,FALSE,0
JWoodcockMP,1,0,0,0,0,FALSE,0
GeraldJonesLAB,1,0,0,0,0,FALSE,0
andreajenkyns,4,0,0,0,0,FALSE,0
DavidJonesMP,7,1,0,0,0,FALSE,0
Mike4Eastleigh,1,0,0,0,0,FALSE,0
mtpennycook,2,0,0,0,0,FALSE,0
MartinJDocherty,1,0,0,0,0,FALSE,0
PeterNorthDevon,1,0,0,0,0,FALSE,0
BrendanOHaraSNP,1,0,0,0,0,FALSE,0
murrisonMP,1,0,0,0,0,FALSE,0
sajidjavid,2,0,0,0,0,FALSE,0
annaturley,2,0,0,0,0,FALSE,0
uxbridgewalrus,1,0,0,0,0,FALSE,0
TasminaSheikh,4,0,0,0,0,FALSE,0
Caroline_Ansell,1,0,0,0,0,FALSE,0
HywelPlaidCymru,2,0,0,0,0,FALSE,0
DougChapmanSNP,3,0,0,0,0,FALSE,0
RichardBurdenMP,1,0,0,0,0,FALSE,0
